SCT_ID,SCT_Code,SCT_DescriptionA_Type1,SCT_DescriptionA_Type2,SCT_DescriptionB,SCT_Semantic_Tags,SCT_Type,SCT_level
52501007,1,,Leukocyte,,cell,Concept,"10,11,3,4,5,6,7,8,9"
41898006,1,,Erythrocyte,,cell,Concept,"1,10,11,12,13,2,3,4,5,6,7,8,9"
414128005,1,,Erythroid cell,,cell,Concept,"10,11,12,13,14,2,3,4,5,6,7,8,9"
63370004,1,,Blood cell,,cell,Concept,"10,11,12,13,14,2,3,4,5,6,7,8,9"
362837007,1,,Entire cell,,cell,Concept,"10,11,12,13,14,15,3,4,5,6,7,8,9"
773760007,1,,Traumatic event,,event,Concept,"1,10,11,12,13,2,3,4,5,6,7,8,9"
272379006,1,,Events,,event,TLC,"10,11,12,13,14,2,3,4,5,6,7,8,9"
410604004,1,,Subject of record,,person,Concept,"1,2,3,4"
419358007,1,,Subject of record or other provider of history,,person,Concept,"2,3,4,5,6,7,8"
125676002,1,,Person,,person,Concept,"1,2,3,4,5,6,7,8,9"
249496004,1,,Esophageal reflux finding,,finding,Concept,0
183676005,1,,Died in hospital,,finding,Concept,0
236667007,1,,Psychogenic urinary incontinence,,finding,Concept,0
300288001,1,,Finding of esophageal function,,finding,Concept,1
42112009,1,,Urinary incontinence of non-organic origin,,finding,Concept,1
47563007,1,,Nutritional deficiency,,finding,Concept,1
47268002,1,,Reflux,,finding,Concept,1
73430006,1,,Sleep apnea,,finding,Concept,1
300346007,1,,Lesion of gallbladder,,finding,Concept,1
301827008,1,,Lesion of bronchus,,finding,Concept,1
709493000,1,,Digestive system reflux,,finding,Concept,1
184297005,1,,Patient died in hospital,,finding,Concept,1
9267009,1,,Chest pain at rest,,finding,Concept,1
37057007,1,,Psychophysiologic disorder,,finding,Concept,1
26112003,1,,Psychosomatic factor in physical condition,,finding,Concept,2
366364004,1,,Finding of nutritional status,,finding,Concept,2
299033004,1,,Deformity of hand,,finding,Concept,2
313413008,1,,Calculus finding,,finding,Concept,2
313133004,1,,Finding of finger,,finding,Concept,2
1023001,1,,Apnea,,finding,Concept,2
300284004,1,,Finding of esophagus,,finding,Concept,2
298277008,1,,Lesion of skeletal muscle structure,,finding,Concept,2
733741005,1,,Impaired cardiovascular system function,,finding,Concept,2
397709008,1,,Patient died,,finding,Concept,2
271678007,1,,Intra-abdominal movement,,finding,Concept,2
302065000,1,,Finding of thyroid gland,,finding,Concept,2
106088004,1,,Nutritional system finding,,finding,Concept,2
52598005,1,,Rest pain,,finding,Concept,2
767811005,1,,Lesion of face,,finding,Concept,2
428926002,1,,Pain onset at rest,,finding,Concept,2
432525007,1,,Mass of head,,finding,Concept,2
297107002,1,,Respiratory insufficiency [D],,finding,Concept,2
165232002,1,,Urinary incontinence,,finding,Concept,2
249569004,1,,Gallbladder finding,,finding,Concept,2
251039005,1,,Pulmonary artery finding,,finding,Concept,2
299733008,1,,Finding of spinal cord,,finding,Concept,3
106049001,1,,Respiratory rate AND/OR rhythm finding,,finding,Concept,3
428209001,1,,Finding related to onset of pain,,finding,Concept,3
366546005,1,,Finding of form of hand,,finding,Concept,3
313132009,1,,Finding of digit of hand,,finding,Concept,3
106176003,1,,Endocrine finding,,finding,Concept,3
7973008,1,,Abnormal vision,,finding,Concept,3
300310003,1,,Observation of colon,,finding,Concept,3
129001003,1,,Basic activity of daily living,,finding,Concept,3
366279009,1,,Finding of bladder control,,finding,Concept,3
300339003,1,,Finding of biliary tract,,finding,Concept,3
274751001,1,,Mass of head and/or neck,,finding,Concept,3
106134006,1,,Perception AND/OR perception disturbance,,finding,Concept,3
161920001,1,,Respiratory symptoms,,finding,Concept,3
399347008,1,,Death,,finding,Concept,3
1156448003,1,,Impaired urinary system function,,finding,Concept,3
118213005,1,,Postpartum finding,,finding,Concept,3
249546002,1,,Finding of movement of abdomen,,finding,Concept,3
301228009,1,,Finding of trachea,,finding,Concept,4
301282008,1,,Finding of respiration,,finding,Concept,4
300357002,1,,Finding of pancreas,,finding,Concept,4
118436003,1,,Finding of large intestine,,finding,Concept,4
298149009,1,,Lesion of joint,,finding,Concept,4
301978000,1,,Finding of vision of eye,,finding,Concept,4
250087009,1,,Joint deformity,,finding,Concept,4
298714005,1,,Finding of movement of thorax,,finding,Concept,4
414258008,1,,Finding of vision,,finding,Concept,4
247699008,1,,Psychological finding of perception,,finding,Concept,4
366671003,1,,Finding of form of joint,,finding,Concept,5
301186004,1,,Upper respiratory tract finding,,finding,Concept,5
116276002,1,,Musculoskeletal finding related to thorax,,finding,Concept,5
366456006,1,,Finding of general structure of thorax,,finding,Concept,5
118954006,1,,Cartilage finding,,finding,Concept,6
297268004,1,,"Ear, nose and throat finding",,finding,Concept,6
25064002,1,,Headache,,finding,Concept,"1,2"
366044004,1,,Finding of place of death,,finding,Concept,"1,2"
414915002,1,,Obese,,finding,Concept,"1,2"
18469004,1,,Decreased erythrocyte production,,finding,Concept,"1,2"
371037005,1,,Systolic dysfunction,,finding,Concept,"1,2"
24184005,1,,Finding of increased blood pressure,A finding of increased blood pressure not necessarily hypertensive disorder,finding,Concept,"1,2"
48694002,1,,Anxiety,,finding,Concept,"1,2"
165474009,1,,"Microcytosis, red cells",,finding,Concept,"1,2"
249585009,1,,Bladder finding,,finding,Concept,"1,3"
38936003,1,,Abnormal blood pressure,,finding,Concept,"2,3"
118435004,1,,Finding of small intestine,,finding,Concept,"2,3"
301310005,1,,Finding of face,,finding,Concept,"2,3"
300893006,1,,Nutritional finding,,finding,Concept,"2,3"
106131003,1,,Mood finding,,finding,Concept,"2,3"
29857009,1,,Chest pain,,finding,Concept,"2,3"
419099009,1,,Dead,,finding,Concept,"2,3"
27635008,1,,Aching pain,,finding,Concept,"2,3"
301358001,1,,Pain of cardiovascular structure,,finding,Concept,"2,3"
106023006,1,,"Finding of self perception, self concept pattern",,finding,Concept,"2,3"
365615009,1,,Finding of mean cell volume,,finding,Concept,"2,3"
81869008,1,,Abnormal erythrocyte production,,finding,Concept,"2,3"
300332007,1,,Liver mass,,finding,Concept,"2,3"
238131007,1,,Overweight,,finding,Concept,"2,3"
248727005,1,,Venous finding,,finding,Concept,"2,3"
365622001,1,,Finding of red blood cell size,,finding,Concept,"2,3"
41840003,1,,Urinary incontinence,,finding,Concept,"2,3"
111970001,1,,Abnormal cardiovascular function,,finding,Concept,"2,3"
289479001,1,,Inflammation of vulva,,finding,Concept,"2,3"
699046000,1,,Craniofacial pain,,finding,Concept,"2,3"
301139003,1,,Systemic arterial finding,,finding,Concept,"2,3"
246605000,1,,Peripheral nerve finding,,finding,Concept,"2,3"
298325004,1,,Finding of movement,,finding,Concept,"2,4"
816055008,1,,Lump of upper outer quadrant of breast,,finding,Concept,"2,4"
700006000,1,,Pelvic organ finding,,finding,Concept,"2,4"
32738000,1,,Pruritus,,finding,Concept,"2,7"
418363000,1,,Itching of skin,,finding,Concept,"2,7"
365619003,1,,Finding of red blood cell morphology,,finding,Concept,"3,4"
